"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "CSS", "JavaScript JSX", "XML", "Prisma", "comment", "blank", "total"
"c:\Users\utkarsh\Projects\cars\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\utkarsh\Projects\cars\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\utkarsh\Projects\cars\actions\AdminUserDetails.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\utkarsh\Projects\cars\actions\NewJobCreated.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\utkarsh\Projects\cars\actions\Signup.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 8, 45
"c:\Users\utkarsh\Projects\cars\actions\forgotPassword.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\utkarsh\Projects\cars\actions\login.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 8, 43
"c:\Users\utkarsh\Projects\cars\actions\otpForForgotPassword.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\utkarsh\Projects\cars\actions\sentOtp.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\utkarsh\Projects\cars\actions\verifyEmail.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 4, 37
"c:\Users\utkarsh\Projects\cars\components.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\utkarsh\Projects\cars\next.config.mjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\utkarsh\Projects\cars\package-lock.json", "JSON", 0, 0, 0, 11554, 0, 0, 0, 0, 0, 0, 0, 1, 11555
"c:\Users\utkarsh\Projects\cars\package.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\utkarsh\Projects\cars\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\utkarsh\Projects\cars\prisma\index.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Users\utkarsh\Projects\cars\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 8, 51
"c:\Users\utkarsh\Projects\cars\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\utkarsh\Projects\cars\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\utkarsh\Projects\cars\src\Providers\NextUIProviders.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\utkarsh\Projects\cars\src\app\(admin)\addJobs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\utkarsh\Projects\cars\src\app\(admin)\allJobs\_components\JobCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 2, 3, 99
"c:\Users\utkarsh\Projects\cars\src\app\(admin)\allJobs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Users\utkarsh\Projects\cars\src\app\[slug]\_components\JobPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 18, 264
